ministro,ano,mes,dia,distribuido,redistribuido,total
"MIN. MARCO AURÉLIO",2007,10,31,"6","0","6"
"MIN. GILMAR MENDES",2007,10,31,"12","2","14"
"MIN. CEZAR PELUSO",2007,10,31,"10","0","10"
"MIN. CARLOS BRITTO",2007,10,31,"21","1","22"
"MIN. JOAQUIM BARBOSA",2007,10,31,"8","0","8"
"MIN. EROS GRAU",2007,10,31,"15","0","15"
"MIN. RICARDO LEWANDOWSKI",2007,10,31,"17","1","18"
"MIN. CÁRMEN LÚCIA",2007,10,31,"18","3","21"
"MIN. MENEZES DIREITO",2007,10,31,"7","0","7"
"TOTAL",2007,10,31,"126","7","133"
"MIN. CELSO DE MELLO",2008,5,9,"31","0","31"
"MIN. MARCO AURÉLIO",2008,5,9,"20","0","20"
"MIN. ELLEN GRACIE",2008,5,9,"34","0","34"
"MIN. CEZAR PELUSO",2008,5,9,"113","0","113"
"MIN. CARLOS BRITTO",2008,5,9,"23","0","23"
"MIN. JOAQUIM BARBOSA",2008,5,9,"26","0","26"
"MIN. EROS GRAU",2008,5,9,"45","0","45"
"MIN. RICARDO LEWANDOWSKI",2008,5,9,"29","1","30"
"MIN. CÁRMEN LÚCIA",2008,5,9,"30","0","30"
"MIN. MENEZES DIREITO",2008,5,9,"27","0","27"
"TOTAL",2008,5,9,"378","1","379"
"MIN. SEPÚLVEDA PERTENCE",2007,4,25,"48","0","48"
"MIN. CELSO DE MELLO",2007,4,25,"52","0","52"
"MIN. MARCO AURÉLIO",2007,4,25,"51","0","51"
"MIN. GILMAR MENDES",2007,4,25,"48","0","48"
"MIN. CEZAR PELUSO",2007,4,25,"47","0","47"
"MIN. CARLOS BRITTO",2007,4,25,"48","1","49"
"MIN. JOAQUIM BARBOSA",2007,4,25,"51","0","51"
"MIN. EROS GRAU",2007,4,25,"49","0","49"
"MIN. RICARDO LEWANDOWSKI",2007,4,25,"46","0","46"
"MIN. CÁRMEN LÚCIA",2007,4,25,"47","0","47"
"TOTAL",2007,4,25,"487","1","488"
"MIN. SEPÚLVEDA PERTENCE",2007,4,26,"1","0","1"
"MIN. CELSO DE MELLO",2007,4,26,"0","0","0"
"MIN. MARCO AURÉLIO",2007,4,26,"0","0","0"
"MIN. GILMAR MENDES",2007,4,26,"0","0","0"
"MIN. CEZAR PELUSO",2007,4,26,"0","0","0"
"MIN. CARLOS BRITTO",2007,4,26,"0","0","0"
"MIN. JOAQUIM BARBOSA",2007,4,26,"0","0","0"
"MIN. EROS GRAU",2007,4,26,"0","0","0"
"MIN. RICARDO LEWANDOWSKI",2007,4,26,"0","0","0"
"MIN. CÁRMEN LÚCIA",2007,4,26,"0","0","0"
"TOTAL",2007,4,26,"1","0","1"
"MIN. SEPÚLVEDA PERTENCE",2007,7,30,"24","0","24"
"MIN. CELSO DE MELLO",2007,7,30,"45","0","45"
"MIN. MARCO AURÉLIO",2007,7,30,"27","0","27"
"MIN. GILMAR MENDES",2007,7,30,"38","0","38"
"MIN. CEZAR PELUSO",2007,7,30,"58","0","58"
"MIN. CARLOS BRITTO",2007,7,30,"43","0","43"
"MIN. JOAQUIM BARBOSA",2007,7,30,"31","0","31"
"MIN. EROS GRAU",2007,7,30,"34","0","34"
"MIN. RICARDO LEWANDOWSKI",2007,7,30,"38","0","38"
"MIN. CÁRMEN LÚCIA",2007,7,30,"29","0","29"
"TOTAL",2007,7,30,"367","0","367"
"MIN. CELSO DE MELLO",2008,2,6,"61","0","61"
"MIN. MARCO AURÉLIO",2008,2,6,"8","0","8"
"MIN. GILMAR MENDES",2008,2,6,"42","0","42"
"MIN. CEZAR PELUSO",2008,2,6,"38","0","38"
"MIN. CARLOS BRITTO",2008,2,6,"53","0","53"
"MIN. JOAQUIM BARBOSA",2008,2,6,"57","0","57"
"MIN. EROS GRAU",2008,2,6,"35","0","35"
"MIN. RICARDO LEWANDOWSKI",2008,2,6,"76","0","76"
"MIN. CÁRMEN LÚCIA",2008,2,6,"80","0","80"
"MIN. MENEZES DIREITO",2008,2,6,"22","0","22"
"TOTAL",2008,2,6,"472","0","472"
