"ano","dia","distribuido","total","ministro","mes","redistribuido"
2007,30,"48","48","MIN. CEZAR PELUSO",3,"0"
2007,30,"39","39","MIN. CARLOS BRITTO",3,"0"
2007,30,"19","19","MIN. JOAQUIM BARBOSA",3,"0"
2007,30,"34","34","MIN. EROS GRAU",3,"0"
2007,30,"35","36","MIN. RICARDO LEWANDOWSKI",3,"1"
2007,30,"34","35","MIN. CÁRMEN LÚCIA",3,"1"
2007,30,"350","353","TOTAL",3,"3"
2007,2,"64","64","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,2,"61","61","MIN. CELSO DE MELLO",4,"0"
2007,2,"65","65","MIN. MARCO AURÉLIO",4,"0"
2007,2,"48","48","MIN. GILMAR MENDES",4,"0"
2007,2,"52","52","MIN. CEZAR PELUSO",4,"0"
2007,2,"65","65","MIN. CARLOS BRITTO",4,"0"
2007,2,"60","60","MIN. JOAQUIM BARBOSA",4,"0"
2007,2,"63","63","MIN. EROS GRAU",4,"0"
2007,2,"64","64","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,2,"65","65","MIN. CÁRMEN LÚCIA",4,"0"
2007,2,"607","607","TOTAL",4,"0"
2007,3,"46","46","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,3,"35","35","MIN. CELSO DE MELLO",4,"0"
2007,3,"45","46","MIN. MARCO AURÉLIO",4,"1"
2007,3,"45","45","MIN. GILMAR MENDES",4,"0"
2007,3,"42","42","MIN. CEZAR PELUSO",4,"0"
2007,3,"46","46","MIN. CARLOS BRITTO",4,"0"
2007,3,"45","45","MIN. JOAQUIM BARBOSA",4,"0"
2007,3,"45","45","MIN. EROS GRAU",4,"0"
2007,3,"46","46","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,3,"42","43","MIN. CÁRMEN LÚCIA",4,"1"
2007,3,"437","439","TOTAL",4,"2"
2007,4,"0","0","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,4,"0","0","MIN. CELSO DE MELLO",4,"0"
2007,4,"0","0","MIN. MARCO AURÉLIO",4,"0"
2007,4,"0","0","MIN. GILMAR MENDES",4,"0"
2007,4,"0","0","MIN. CEZAR PELUSO",4,"0"
2007,4,"0","0","MIN. CARLOS BRITTO",4,"0"
2007,4,"1","1","MIN. JOAQUIM BARBOSA",4,"0"
2007,4,"0","0","MIN. EROS GRAU",4,"0"
2007,4,"1","1","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,4,"1","1","MIN. CÁRMEN LÚCIA",4,"0"
2007,4,"3","3","TOTAL",4,"0"
2007,9,"50","50","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,9,"23","23","MIN. CELSO DE MELLO",4,"0"
2007,9,"52","52","MIN. MARCO AURÉLIO",4,"0"
2007,9,"55","55","MIN. GILMAR MENDES",4,"0"
2007,9,"51","51","MIN. CEZAR PELUSO",4,"0"
2007,9,"51","51","MIN. CARLOS BRITTO",4,"0"
2007,9,"54","54","MIN. JOAQUIM BARBOSA",4,"0"
2007,9,"23","23","MIN. EROS GRAU",4,"0"
2007,9,"51","51","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,9,"51","51","MIN. CÁRMEN LÚCIA",4,"0"
2007,9,"461","461","TOTAL",4,"0"
2007,10,"46","47","MIN. SEPÚLVEDA PERTENCE",4,"1"
2007,10,"46","46","MIN. CELSO DE MELLO",4,"0"
2007,10,"45","45","MIN. MARCO AURÉLIO",4,"0"
2007,10,"42","42","MIN. GILMAR MENDES",4,"0"
2007,10,"49","49","MIN. CEZAR PELUSO",4,"0"
2007,10,"44","46","MIN. CARLOS BRITTO",4,"2"
2007,10,"45","45","MIN. JOAQUIM BARBOSA",4,"0"
2007,10,"41","43","MIN. EROS GRAU",4,"2"
2007,10,"46","46","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,10,"45","45","MIN. CÁRMEN LÚCIA",4,"0"
2007,10,"449","454","TOTAL",4,"5"
2007,11,"28","28","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,11,"41","42","MIN. CELSO DE MELLO",4,"1"
2007,11,"41","41","MIN. MARCO AURÉLIO",4,"0"
2007,11,"36","36","MIN. GILMAR MENDES",4,"0"
2007,11,"62","62","MIN. CEZAR PELUSO",4,"0"
2007,11,"46","46","MIN. CARLOS BRITTO",4,"0"
2007,11,"42","42","MIN. JOAQUIM BARBOSA",4,"0"
2007,11,"46","47","MIN. EROS GRAU",4,"1"
2007,11,"46","46","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,11,"43","43","MIN. CÁRMEN LÚCIA",4,"0"
2007,11,"431","433","TOTAL",4,"2"
2007,12,"36","36","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,12,"33","34","MIN. CELSO DE MELLO",4,"1"
2007,12,"34","36","MIN. MARCO AURÉLIO",4,"2"
2007,12,"30","32","MIN. GILMAR MENDES",4,"2"
2007,12,"60","60","MIN. CEZAR PELUSO",4,"0"
2007,12,"31","31","MIN. CARLOS BRITTO",4,"0"
2007,12,"31","32","MIN. JOAQUIM BARBOSA",4,"1"
2007,12,"34","34","MIN. EROS GRAU",4,"0"
2007,12,"34","34","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,12,"35","35","MIN. CÁRMEN LÚCIA",4,"0"
2007,12,"358","364","TOTAL",4,"6"
2007,13,"27","27","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,13,"32","32","MIN. CELSO DE MELLO",4,"0"
2007,13,"29","29","MIN. MARCO AURÉLIO",4,"0"
2007,13,"29","29","MIN. GILMAR MENDES",4,"0"
2007,13,"48","48","MIN. CEZAR PELUSO",4,"0"
2007,13,"27","27","MIN. CARLOS BRITTO",4,"0"
2007,13,"31","31","MIN. JOAQUIM BARBOSA",4,"0"
2007,13,"27","27","MIN. EROS GRAU",4,"0"
2007,13,"31","31","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,13,"33","33","MIN. CÁRMEN LÚCIA",4,"0"
2007,13,"314","314","TOTAL",4,"0"
2007,16,"33","33","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,16,"45","45","MIN. CELSO DE MELLO",4,"0"
2007,16,"46","46","MIN. MARCO AURÉLIO",4,"0"
2007,16,"49","49","MIN. GILMAR MENDES",4,"0"
2007,16,"59","59","MIN. CEZAR PELUSO",4,"0"
2007,16,"22","22","MIN. CARLOS BRITTO",4,"0"
2007,16,"46","46","MIN. JOAQUIM BARBOSA",4,"0"
2007,16,"45","45","MIN. EROS GRAU",4,"0"
2007,16,"47","47","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,16,"48","48","MIN. CÁRMEN LÚCIA",4,"0"
2007,16,"440","440","TOTAL",4,"0"
2007,17,"45","45","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,17,"45","45","MIN. CELSO DE MELLO",4,"0"
2007,17,"44","44","MIN. MARCO AURÉLIO",4,"0"
2007,17,"44","44","MIN. GILMAR MENDES",4,"0"
2007,17,"36","36","MIN. CEZAR PELUSO",4,"0"
2007,17,"36","36","MIN. CARLOS BRITTO",4,"0"
2007,17,"42","42","MIN. JOAQUIM BARBOSA",4,"0"
2007,17,"44","44","MIN. EROS GRAU",4,"0"
2007,17,"34","34","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,17,"44","44","MIN. CÁRMEN LÚCIA",4,"0"
2007,17,"414","414","TOTAL",4,"0"
2007,18,"41","41","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,18,"53","53","MIN. CELSO DE MELLO",4,"0"
2007,18,"53","53","MIN. MARCO AURÉLIO",4,"0"
2007,18,"35","35","MIN. GILMAR MENDES",4,"0"
2007,18,"48","49","MIN. CEZAR PELUSO",4,"1"
2007,18,"42","42","MIN. CARLOS BRITTO",4,"0"
2007,18,"43","44","MIN. JOAQUIM BARBOSA",4,"1"
2007,18,"49","51","MIN. EROS GRAU",4,"2"
2007,18,"52","52","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,18,"52","52","MIN. CÁRMEN LÚCIA",4,"0"
2007,18,"468","472","TOTAL",4,"4"
2007,19,"51","51","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,19,"36","36","MIN. CELSO DE MELLO",4,"0"
2007,19,"51","51","MIN. MARCO AURÉLIO",4,"0"
2007,19,"56","56","MIN. GILMAR MENDES",4,"0"
2007,19,"50","50","MIN. CEZAR PELUSO",4,"0"
2007,19,"52","52","MIN. CARLOS BRITTO",4,"0"
2007,19,"52","52","MIN. JOAQUIM BARBOSA",4,"0"
2007,19,"52","52","MIN. EROS GRAU",4,"0"
2007,19,"50","50","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,19,"53","53","MIN. CÁRMEN LÚCIA",4,"0"
2007,19,"503","503","TOTAL",4,"0"
2007,20,"54","55","MIN. SEPÚLVEDA PERTENCE",4,"1"
2007,20,"53","53","MIN. CELSO DE MELLO",4,"0"
2007,20,"52","52","MIN. MARCO AURÉLIO",4,"0"
2007,20,"53","53","MIN. GILMAR MENDES",4,"0"
2007,20,"49","49","MIN. CEZAR PELUSO",4,"0"
2007,20,"52","52","MIN. CARLOS BRITTO",4,"0"
2007,20,"55","55","MIN. JOAQUIM BARBOSA",4,"0"
2007,20,"53","53","MIN. EROS GRAU",4,"0"
2007,20,"54","54","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,20,"52","52","MIN. CÁRMEN LÚCIA",4,"0"
2007,20,"527","528","TOTAL",4,"1"
2007,23,"0","0","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,23,"0","0","MIN. CELSO DE MELLO",4,"0"
2007,23,"0","0","MIN. MARCO AURÉLIO",4,"0"
2007,23,"0","0","MIN. GILMAR MENDES",4,"0"
2007,23,"1","1","MIN. CEZAR PELUSO",4,"0"
2007,23,"0","0","MIN. CARLOS BRITTO",4,"0"
2007,23,"0","0","MIN. JOAQUIM BARBOSA",4,"0"
2007,23,"0","0","MIN. EROS GRAU",4,"0"
2007,23,"0","0","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,23,"0","0","MIN. CÁRMEN LÚCIA",4,"0"
2007,23,"1","1","TOTAL",4,"0"
2007,24,"32","32","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,24,"61","61","MIN. CELSO DE MELLO",4,"0"
2007,24,"56","57","MIN. MARCO AURÉLIO",4,"1"
2007,24,"57","57","MIN. GILMAR MENDES",4,"0"
2007,24,"53","53","MIN. CEZAR PELUSO",4,"0"
2007,24,"40","40","MIN. CARLOS BRITTO",4,"0"
2007,24,"57","57","MIN. JOAQUIM BARBOSA",4,"0"
2007,24,"59","59","MIN. EROS GRAU",4,"0"
2007,24,"59","59","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,24,"56","57","MIN. CÁRMEN LÚCIA",4,"1"
2007,24,"530","532","TOTAL",4,"2"
2007,25,"48","48","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,25,"52","52","MIN. CELSO DE MELLO",4,"0"
2007,25,"51","51","MIN. MARCO AURÉLIO",4,"0"
2007,25,"48","48","MIN. GILMAR MENDES",4,"0"
2007,25,"47","47","MIN. CEZAR PELUSO",4,"0"
2007,25,"48","49","MIN. CARLOS BRITTO",4,"1"
2007,25,"51","51","MIN. JOAQUIM BARBOSA",4,"0"
2007,25,"49","49","MIN. EROS GRAU",4,"0"
2007,25,"46","46","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,25,"47","47","MIN. CÁRMEN LÚCIA",4,"0"
2007,25,"487","488","TOTAL",4,"1"
2007,26,"1","1","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,26,"0","0","MIN. CELSO DE MELLO",4,"0"
2007,26,"0","0","MIN. MARCO AURÉLIO",4,"0"
2007,26,"0","0","MIN. GILMAR MENDES",4,"0"
2007,26,"0","0","MIN. CEZAR PELUSO",4,"0"
2007,26,"0","0","MIN. CARLOS BRITTO",4,"0"
2007,26,"0","0","MIN. JOAQUIM BARBOSA",4,"0"
2007,26,"0","0","MIN. EROS GRAU",4,"0"
2007,26,"0","0","MIN. RICARDO LEWANDOWSKI",4,"0"
2007,26,"0","0","MIN. CÁRMEN LÚCIA",4,"0"
2007,26,"1","1","TOTAL",4,"0"
2007,27,"0","0","MIN. SEPÚLVEDA PERTENCE",4,"0"
2007,27,"0","0","MIN. CELSO DE MELLO",4,"0"
