"site","mesAtual","diaAtual","anoAtual"
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=14/06/2007&numAta=132&sessaoAta=O",6,14,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=15/06/2007&numAta=133&sessaoAta=O",6,15,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=18/06/2007&numAta=134&sessaoAta=O",6,18,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=19/06/2007&numAta=135&sessaoAta=O",6,19,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=20/06/2007&numAta=136&sessaoAta=O",6,20,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=21/06/2007&numAta=138&sessaoAta=O",6,21,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=22/06/2007&numAta=139&sessaoAta=O",6,22,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=25/06/2007&numAta=142&sessaoAta=O",6,25,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=26/06/2007&numAta=143&sessaoAta=O",6,26,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=27/06/2007&numAta=144&sessaoAta=O",6,27,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=28/06/2007&numAta=145&sessaoAta=O",6,28,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=29/06/2007&numAta=147&sessaoAta=O",6,29,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=02/07/2007&numAta=148&sessaoAta=O",7,2,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=03/07/2007&numAta=149&sessaoAta=O",7,3,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=04/07/2007&numAta=150&sessaoAta=O",7,4,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=05/07/2007&numAta=151&sessaoAta=O",7,5,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=06/07/2007&numAta=152&sessaoAta=O",7,6,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=09/07/2007&numAta=153&sessaoAta=O",7,9,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=10/07/2007&numAta=154&sessaoAta=O",7,10,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=11/07/2007&numAta=155&sessaoAta=O",7,11,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=12/07/2007&numAta=156&sessaoAta=O",7,12,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=13/07/2007&numAta=157&sessaoAta=O",7,13,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=16/07/2007&numAta=158&sessaoAta=O",7,16,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=17/07/2007&numAta=159&sessaoAta=O",7,17,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=18/07/2007&numAta=160&sessaoAta=O",7,18,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=19/07/2007&numAta=161&sessaoAta=O",7,19,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=20/07/2007&numAta=162&sessaoAta=O",7,20,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=23/07/2007&numAta=163&sessaoAta=O",7,23,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=24/07/2007&numAta=164&sessaoAta=O",7,24,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=25/07/2007&numAta=165&sessaoAta=O",7,25,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=26/07/2007&numAta=166&sessaoAta=O",7,26,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=27/07/2007&numAta=167&sessaoAta=O",7,27,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=30/07/2007&numAta=168&sessaoAta=O",7,30,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=31/07/2007&numAta=169&sessaoAta=O",7,31,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=01/08/2007&numAta=170&sessaoAta=O",8,1,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=02/08/2007&numAta=172&sessaoAta=O",8,2,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=03/08/2007&numAta=173&sessaoAta=O",8,3,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=06/08/2007&numAta=174&sessaoAta=O",8,6,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=07/08/2007&numAta=175&sessaoAta=O",8,7,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=08/08/2007&numAta=176&sessaoAta=O",8,8,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=09/08/2007&numAta=177&sessaoAta=O",8,9,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=10/08/2007&numAta=178&sessaoAta=O",8,10,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=13/08/2007&numAta=179&sessaoAta=O",8,13,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=14/08/2007&numAta=180&sessaoAta=O",8,14,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=15/08/2007&numAta=181&sessaoAta=O",8,15,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=16/08/2007&numAta=182&sessaoAta=O",8,16,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=17/08/2007&numAta=184&sessaoAta=O",8,17,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=20/08/2007&numAta=185&sessaoAta=O",8,20,2007
